Time,CenterOfMassX,CenterOfMassY,CenterOfMassZ,RotationAngle,WeightPositionX,WeightPositionY,WeightPositionZ
75.10958,-0.0108745,1.009206,0,12.35014,-0.09288006,1.070564,0
76.11246,-0.01088572,1.009165,0,12.54095,-0.09309518,1.07025,0
77.11293,-0.01089689,1.009124,0,12.73176,-0.09330931,1.069935,0
78.11396,-0.01090802,1.009082,0,12.92256,-0.09352249,1.069618,0
79.11404,-0.01091909,1.009041,0,13.11337,-0.0937347,1.069302,0
80.11494,-0.01093011,1.009,0,13.30418,-0.09394594,1.068984,0
81.11494,-0.01094108,1.008958,0,13.49499,-0.09415622,1.068666,0
82.11593,-0.010952,1.008917,0,13.6858,-0.09436551,1.068347,0
83.11648,-0.01096287,1.008875,0,13.87661,-0.09457385,1.068027,0
84.11728,-0.01097369,1.008833,0,14.06742,-0.09478119,1.067706,0
85.11977,-0.01098446,1.008791,0,14.25823,-0.09498756,1.067385,0
86.13044,-0.01099539,1.008748,0,14.45284,-0.09519702,1.067057,0
87.13115,-0.01100605,1.008706,0,14.64365,-0.09540141,1.066734,0
88.13187,-0.01101666,1.008664,0,14.83446,-0.09560479,1.06641,0
89.13187,-0.01102722,1.008622,0,15.02526,-0.09580718,1.066086,0
90.13353,-0.01103773,1.008579,0,15.21608,-0.09600859,1.065761,0
91.13553,-0.01104818,1.008537,0,15.40688,-0.096209,1.065435,0
92.13618,-0.01105859,1.008494,0,15.5977,-0.09640843,1.065109,0
93.13673,-0.01106894,1.008451,0,15.78849,-0.09660684,1.064781,0
94.13968,-0.01107924,1.008409,0,15.97931,-0.09680426,1.064453,0
95.14068,-0.01108969,1.008365,0,16.17393,-0.09700458,1.064118,0
96.14285,-0.01109989,1.008322,0,16.36474,-0.09719998,1.063789,0
97.14526,-0.01111003,1.008279,0,16.55555,-0.09739435,1.063459,0
98.14639,-0.01112012,1.008236,0,16.74636,-0.09758773,1.063128,0
99.14855,-0.01113016,1.008193,0,16.93717,-0.09778009,1.062796,0
100.1488,-0.01114014,1.008149,0,17.12797,-0.09797142,1.062464,0
101.1496,-0.01115007,1.008106,0,17.31879,-0.09816177,1.062131,0
102.1516,-0.01115995,1.008062,0,17.50958,-0.09835107,1.061798,0
103.1596,-0.01116977,1.008019,0,17.70041,-0.09853937,1.061463,0
104.1613,-0.01117973,1.007974,0,17.89502,-0.09873036,1.061122,0
105.1629,-0.01118945,1.00793,0,18.08583,-0.09891658,1.060786,0
106.1651,-0.01119911,1.007887,0,18.27664,-0.09910178,1.06045,0
107.1666,-0.01120872,1.007843,0,18.46744,-0.09928595,1.060113,0
108.1672,-0.01121828,1.007799,0,18.65827,-0.0994691,1.059775,0
109.1676,-0.01122778,1.007754,0,18.84906,-0.0996512,1.059437,0
110.1681,-0.01123723,1.00771,0,19.03987,-0.09983227,1.059098,0
111.1692,-0.01124662,1.007666,0,19.23069,-0.1000123,1.058758,0
112.1704,-0.01125596,1.007622,0,19.42149,-0.1001913,1.058418,0
113.1713,-0.01126524,1.007577,0,19.61231,-0.1003693,1.058077,0
114.1726,-0.01127447,1.007533,0,19.80311,-0.1005462,1.057735,0
115.177,-0.01128365,1.007488,0,19.99391,-0.100722,1.057393,0
116.1799,-0.01129277,1.007443,0,20.18473,-0.1008969,1.05705,0
117.18,-0.01130183,1.007398,0,20.37552,-0.1010706,1.056707,0
118.1817,-0.01131102,1.007353,0,20.57015,-0.1012468,1.056356,0
119.1839,-0.01131998,1.007308,0,20.76097,-0.1014185,1.056011,0
120.184,-0.01132888,1.007262,0,20.95177,-0.101589,1.055666,0
121.1855,-0.01133773,1.007217,0,21.14258,-0.1017586,1.05532,0
122.1856,-0.01134652,1.007172,0,21.3334,-0.1019271,1.054973,0
123.1875,-0.01135525,1.007127,0,21.5242,-0.1020945,1.054626,0
124.1879,-0.01136393,1.007082,0,21.71501,-0.1022608,1.054278,0
125.1883,-0.01137256,1.007036,0,21.90582,-0.1024261,1.05393,0
126.1913,-0.01138113,1.006991,0,22.09662,-0.1025904,1.053581,0
127.1934,-0.01138964,1.006945,0,22.28743,-0.1027535,1.053231,0
128.1958,-0.0113981,1.006899,0,22.47823,-0.1029156,1.052881,0
129.1968,-0.0114065,1.006854,0,22.66905,-0.1030766,1.05253,0
130.1982,-0.01141484,1.006808,0,22.85985,-0.1032366,1.052179,0
131.1996,-0.01142313,1.006762,0,23.05066,-0.1033955,1.051827,0
132.1997,-0.01143136,1.006716,0,23.24147,-0.1035533,1.051474,0
133.1999,-0.01143954,1.00667,0,23.43229,-0.10371,1.051121,0
134.202,-0.01144783,1.006623,0,23.6269,-0.1038687,1.050761,0
135.2032,-0.01145589,1.006577,0,23.81771,-0.1040233,1.050406,0
136.2043,-0.01146389,1.00653,0,24.00852,-0.1041767,1.050052,0
137.2063,-0.01147184,1.006484,0,24.19934,-0.1043291,1.049696,0
138.2092,-0.01147973,1.006438,0,24.39013,-0.1044804,1.04934,0
139.2098,-0.01148757,1.006391,0,24.58093,-0.1046306,1.048984,0
140.2106,-0.01149535,1.006345,0,24.77174,-0.1047797,1.048627,0
141.2115,-0.01150307,1.006298,0,24.96255,-0.1049277,1.048269,0
142.2156,-0.01151074,1.006251,0,25.15337,-0.1050746,1.047911,0
143.2158,-0.01151835,1.006204,0,25.34417,-0.1052204,1.047553,0
144.2162,-0.0115259,1.006157,0,25.53498,-0.1053652,1.047193,0
145.2184,-0.01153339,1.006111,0,25.72578,-0.1055088,1.046834,0
146.2192,-0.01154083,1.006064,0,25.9166,-0.1056513,1.046474,0
147.2233,-0.01154836,1.006016,0,26.11123,-0.1057956,1.046106,0
148.224,-0.01155567,1.005969,0,26.30204,-0.1059359,1.045745,0
149.2266,-0.01156294,1.005922,0,26.49284,-0.1060751,1.045383,0
150.2281,-0.01157014,1.005874,0,26.68364,-0.1062132,1.045021,0
151.2286,-0.01157729,1.005827,0,26.87444,-0.1063502,1.044658,0
152.2303,-0.01158438,1.00578,0,27.06525,-0.1064861,1.044295,0
153.233,-0.01159141,1.005732,0,27.25606,-0.1066208,1.043931,0
154.2347,-0.01159838,1.005685,0,27.44688,-0.1067545,1.043567,0
155.2348,-0.0116053,1.005637,0,27.6377,-0.106887,1.043203,0
156.2363,-0.01161216,1.00559,0,27.8285,-0.1070185,1.042838,0
157.2384,-0.01161896,1.005542,0,28.01931,-0.1071488,1.042472,0
158.2394,-0.0116257,1.005494,0,28.21011,-0.107278,1.042106,0
159.2409,-0.01163251,1.005445,0,28.40474,-0.1074086,1.041732,0
